name,picture,position,overall,pace,acceleration,sprintSpeed,shooting,positioning,finishing,shotPower,longShot,volleys,penalties,passing,vision,crossing,freeKickAccuracy,shortPassing,longPassing,curve,dribbling,agility,balance,reaction,ballControl,subDribbling,composure,defending,interceptions,headingAccuracy,defAwareness,standingTackle,slidingTackle,physicality,jumping,stamina,strength,aggression,cardPicture,nation,nationFlag,club,clubLogo,league,foot,age,height,weight,attWorkRate,defWorkRate,playStyle,playStyleIcon,fifaVersion,diving,handling,kicking,reflexes
Nico Schlotterbeck,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p247819.png.adapt.50w.png,CB,83,78,79,77,58,58,51,75,63,51,38,67,68,48,38,77,81,49,73,68,66,83,72,73,77,85,83,85,84,87,82,82,93,73,84,83,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/247819.png.adapt.265w.png,Germany,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png,Borussia Dortmund,https://images.ctfassets.net/rs6bgs1g8dbr/GQTDDz0ijHzyTASt7DvFm/55446801ef41d55533b82c26c1d1e56f/22.png,Bundesliga,Left,24,"191CM / 6'3""FT",90KG / 198LBS,High,High,,,Fifa24,,,,
Luke Shaw,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p205988.png.adapt.50w.png,LB,83,76,74,77,57,78,46,78,56,65,38,82,80,85,67,84,77,86,79,71,74,81,83,78,84,81,83,76,81,83,79,78,84,75,77,85,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/205988.png.adapt.265w.png,England,https://images.ctfassets.net/rs6bgs1g8dbr/4BVs0BAE16wJ4ihZS72xv8/5f2bab28b731170d875d4b0dd66b3664/f_14.png,Manchester Utd,https://images.ctfassets.net/rs6bgs1g8dbr/77cZgiyhWVAujeOJxxHLkt/cfe1fcd96128e52be8a5a681c69e4be4/11.png,Premier League,Left,29,"181CM / 5'11""FT",75KG / 165LBS,Medium,Medium,,,Fifa24,,,,
Raheem Sterling,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p202652.png.adapt.50w.png,LW,83,85,90,80,78,87,79,78,78,67,73,76,76,78,74,77,67,80,85,94,93,86,81,86,77,45,30,46,47,53,45,67,71,77,65,59,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/202652.png.adapt.265w.png,England,https://images.ctfassets.net/rs6bgs1g8dbr/4BVs0BAE16wJ4ihZS72xv8/5f2bab28b731170d875d4b0dd66b3664/f_14.png,Chelsea,https://images.ctfassets.net/rs6bgs1g8dbr/35O3tttUOKlhM7jTGWLbIo/3bb0b1101ca12fb75b5abe817ed269f0/5.png,Premier League,Right,29,"170CM / 5'7""FT",69KG / 152LBS,High,Medium,,,Fifa24,,,,
Dušan Vlahović,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p246430.png.adapt.50w.png,ST,83,80,77,83,85,86,88,84,82,78,79,66,68,57,79,71,59,75,79,63,53,85,85,81,80,29,24,79,19,26,24,82,91,79,88,69,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/246430.png.adapt.265w.png,Serbia,https://images.ctfassets.net/rs6bgs1g8dbr/2FEGjkYVxKR5rKjPaAEmOS/15cdaa7df795b3ed40e120fa84b11cab/f_51.png,Juventus,https://images.ctfassets.net/rs6bgs1g8dbr/3jjwlP6IBW69e2mRSjbfI4/9d964a7bf2960d6b91099da7b9608a25/45.png,Serie A TIM,Left,24,"190CM / 6'3""FT",75KG / 165LBS,Medium,Medium,,,Fifa24,,,,
André-Franck Zambo Anguissa,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p227236.png.adapt.50w.png,CDM,83,78,79,78,68,79,66,74,70,54,60,72,76,62,45,80,74,59,81,76,77,83,82,82,82,81,84,72,80,86,75,86,88,85,87,85,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/227236.png.adapt.265w.png,Cameroon,https://images.ctfassets.net/rs6bgs1g8dbr/5z3Z9TA0nm5WhrAlvaXt4B/16251307062edd2d68e511481aeb823f/f_103.png,Napoli FC,https://images.ctfassets.net/rs6bgs1g8dbr/40PGLIPk7e71KQC6Sl1q7H/87a8e32ef6de16632b0bf74af3b3b833/116365.png,Serie A TIM,Right,28,"184CM / 6'0""FT",78KG / 172LBS,High,Medium,,,Fifa24,,,,
Piotr Zieliński,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p210406.png.adapt.50w.png,CM,83,81,83,79,77,80,75,79,83,75,58,81,84,73,65,85,81,80,86,85,79,81,87,87,75,71,77,52,69,74,71,63,68,79,57,56,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/210406.png.adapt.265w.png,Poland,https://images.ctfassets.net/rs6bgs1g8dbr/KLzBJsJ0eQPZm4hVsZFgc/1a1b9891525684b366053c13c6c87487/f_37.png,Napoli FC,https://images.ctfassets.net/rs6bgs1g8dbr/40PGLIPk7e71KQC6Sl1q7H/87a8e32ef6de16632b0bf74af3b3b833/116365.png,Serie A TIM,Right,30,"180CM / 5'11""FT",75KG / 165LBS,Medium,Medium,,,Fifa24,,,,
Manuel Akanji,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p229237.png.adapt.50w.png,CB,82,77,75,79,48,37,38,75,48,42,40,70,65,55,59,82,80,54,72,66,67,82,75,71,78,83,82,79,83,85,82,78,87,71,80,77,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/229237.png.adapt.265w.png,Switzerland,https://images.ctfassets.net/rs6bgs1g8dbr/2s8MRlpVLTi9FNURVrPJZA/a14dfe4369d30b6ed61dbce95b7892ff/f_47.png,Manchester City,https://images.ctfassets.net/rs6bgs1g8dbr/hn2H64k3KVpJ3Wqpyleus/2d33f6e09f42515c20dd2a70600a3c26/10.png,Premier League,Right,29,"187CM / 6'2""FT",91KG / 201LBS,Medium,Medium,,,Fifa24,,,,
Robert Andrich,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p212242.png.adapt.50w.png,CDM,82,57,59,56,76,72,74,84,80,70,62,76,73,71,76,80,78,78,73,63,59,80,76,74,73,81,82,74,82,84,77,85,80,87,83,88,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/212242.png.adapt.265w.png,Germany,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png,Leverkusen,https://images.ctfassets.net/rs6bgs1g8dbr/6Y5WcoAsEzqF78fQfC3pM2/7d73adc1563ec13c093627439222be50/32.png,Bundesliga,Right,29,"186CM / 6'1""FT",86KG / 190LBS,High,High,,,Fifa24,,,,
Joelinton,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p223334.png.adapt.50w.png,CM,82,78,72,82,71,80,73,81,61,60,61,76,83,71,38,83,78,58,82,68,73,83,85,84,82,81,83,82,79,83,76,88,91,88,87,88,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/223334.png.adapt.265w.png,Brazil,https://images.ctfassets.net/rs6bgs1g8dbr/3Rwp4RzPbtNP3FHh21UXAG/1d1cf1b849dfaeb232744c8c725d93b6/f_54.png,Newcastle Utd,https://images.ctfassets.net/rs6bgs1g8dbr/3owxOhrktlKmPKAGZw3bxu/8878cf46de2cf24e1b4bfcfb2c4b695a/13.png,Premier League,Right,27,"186CM / 6'1""FT",81KG / 179LBS,High,High,,,Fifa24,,,,
Roberto Firmino,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p201942.png.adapt.50w.png,CF,82,70,72,69,77,84,76,77,76,79,72,79,83,73,65,84,76,81,87,83,86,85,88,87,88,58,58,78,52,64,42,77,83,84,73,75,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/201942.png.adapt.265w.png,Brazil,https://images.ctfassets.net/rs6bgs1g8dbr/3Rwp4RzPbtNP3FHh21UXAG/1d1cf1b849dfaeb232744c8c725d93b6/f_54.png,Al Ahli,https://images.ctfassets.net/rs6bgs1g8dbr/4UWJkwke55Yti7X5vE1eyg/f2eafbc97eeca6b5f6b8109bd9bb6ca1/112387.png,ROSHN Saudi League,Right,32,"181CM / 5'11""FT",76KG / 168LBS,High,High,,,Fifa24,,,,
Rodrigo Bentancur,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p227535.png.adapt.50w.png,CM,82,70,70,70,67,72,66,69,65,71,67,81,83,76,68,85,83,71,83,70,76,79,85,85,86,79,82,65,79,83,78,77,74,86,72,78,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/227535.png.adapt.265w.png,Uruguay,https://images.ctfassets.net/rs6bgs1g8dbr/4fGYxsJVNmxNUml4L5DpGb/6ae8147d2d002a8a3db6a6100e58dd6d/f_60.png,Spurs,https://images.ctfassets.net/rs6bgs1g8dbr/27jHaCYQVBBgnrYC9OtN3S/b3f0fda4deae9e5578ccf315dc653816/18.png,Premier League,Right,27,"187CM / 6'2""FT",73KG / 161LBS,Medium,High,,,Fifa24,,,,
Eduardo Camavinga,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p248243.png.adapt.50w.png,CDM,82,79,78,79,66,73,62,73,69,59,62,80,77,76,59,85,84,72,82,81,79,79,86,80,82,76,77,64,75,80,79,80,81,81,80,78,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/248243.png.adapt.265w.png,France,https://images.ctfassets.net/rs6bgs1g8dbr/5Il39kdF0vuuJ1Gc18R7Ww/b982b6f565d2d59fe0dc61e5ca620092/f_18.png,Real Madrid,https://images.ctfassets.net/rs6bgs1g8dbr/7ji8sU96bLJDrvUG9LhZfs/79c637e0af422fec5e4d76c513fbd0dd/243.png,LALIGA EA SPORTS,Left,21,"182CM / 6'0""FT",68KG / 150LBS,High,High,,,Fifa24,,,,
Carvajal,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p204963.png.adapt.50w.png,RB,82,82,80,83,54,75,51,68,47,49,45,76,72,80,47,80,74,76,79,78,83,78,81,78,80,77,77,70,75,80,81,79,81,84,74,85,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/204963.png.adapt.265w.png,Spain,https://images.ctfassets.net/rs6bgs1g8dbr/7k3VpeG3cF7mCTkCpmY6cu/ee3d0c890df33b3ad4b4d5b9cd031ba9/f_45.png,Real Madrid,https://images.ctfassets.net/rs6bgs1g8dbr/7ji8sU96bLJDrvUG9LhZfs/79c637e0af422fec5e4d76c513fbd0dd/243.png,LALIGA EA SPORTS,Right,32,"173CM / 5'8""FT",73KG / 161LBS,Medium,Medium,,,Fifa24,,,,
Ángel Correa,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p214997.png.adapt.50w.png,ST,82,85,86,85,84,85,85,83,86,80,67,77,82,75,66,80,68,82,86,90,89,82,86,87,79,50,48,71,42,53,44,75,82,84,68,79,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/214997.png.adapt.265w.png,Argentina,https://images.ctfassets.net/rs6bgs1g8dbr/2WDsnQSFUeeDtN5E5VaRtQ/fd880af45fc99e56aac677d6bf583d77/f_52.png,Atlético de Madrid,https://images.ctfassets.net/rs6bgs1g8dbr/452jAa9UhkaM3gXX81Roqk/ec88e48a2b43d5e7a3fef6a38c96c16f/240.png,LALIGA EA SPORTS,Right,29,"171CM / 5'7""FT",70KG / 154LBS,High,Medium,,,Fifa24,,,,
Ricardo Horta,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p213516.png.adapt.50w.png,CAM,82,80,82,78,83,83,83,83,84,82,77,80,84,77,80,82,74,80,80,83,85,82,79,81,73,43,55,55,32,44,35,70,72,83,63,69,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/213516.png.adapt.265w.png,Portugal,https://images.ctfassets.net/rs6bgs1g8dbr/2lrwEhKVgf1yqaNPErE17U/827ef25bd1820ad5c65b278a021e9d86/f_38.png,SC Braga,https://images.ctfassets.net/rs6bgs1g8dbr/3MmFiJIWc9X8NkxExzUIsY/cb9a13350540a0c9347b0ab1ffd5d325/1896.png,Liga Portugal,Right,29,"173CM / 5'8""FT",63KG / 139LBS,High,High,,,Fifa24,,,,
Otávio,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p210411.png.adapt.50w.png,RM,82,78,81,76,70,77,69,73,68,69,72,81,85,79,72,82,78,80,85,85,83,82,85,86,81,66,63,57,66,73,60,74,72,86,62,87,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/210411.png.adapt.265w.png,Portugal,https://images.ctfassets.net/rs6bgs1g8dbr/2lrwEhKVgf1yqaNPErE17U/827ef25bd1820ad5c65b278a021e9d86/f_38.png,Al Nassr,https://images.ctfassets.net/rs6bgs1g8dbr/6pdPIXvFbvouaHUFBuw4dR/78a10831c91e580f42f78105f49c0e19/112139.png,ROSHN Saudi League,Right,29,"171CM / 5'7""FT",67KG / 148LBS,High,High,,,Fifa24,,,,
Stefan de Vrij,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p198176.png.adapt.50w.png,CB,82,64,66,62,41,31,25,65,60,27,41,64,70,49,36,74,71,45,69,61,59,82,72,66,85,84,87,81,84,85,82,76,84,71,78,77,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/198176.png.adapt.265w.png,Holland,https://images.ctfassets.net/rs6bgs1g8dbr/4uNbG6XOZIntXSyvoqzfAN/611b3238ff441ce8440cc7643632fa0f/f_34.png,Inter,https://images.ctfassets.net/rs6bgs1g8dbr/3P2xBSe9ichAyoiP8uzR7t/271e45d5b480a9ec7d42200e85677d79/44.png,Serie A TIM,Right,32,"189CM / 6'2""FT",78KG / 172LBS,Medium,High,,,Fifa24,,,,
Boulaye Dia,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p246242.png.adapt.50w.png,ST,82,82,80,84,81,83,86,84,69,75,81,62,65,50,49,74,54,56,81,74,70,79,82,83,75,27,23,77,28,17,14,77,90,74,83,62,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/246242.png.adapt.250w.png,Senegal,https://images.ctfassets.net/rs6bgs1g8dbr/5B0z6tiJgq5DMYfouICdbA/c4105a8c37117e3261ed998769f43c0d/f_136.png,Salernitana,https://images.ctfassets.net/rs6bgs1g8dbr/1sDlndrlegbOY68bwiYjq5/9b54b5fd99e85d2b5da3bf1750c04efd/110373.png,Serie A TIM,Right,27,"180CM / 5'11""FT",75KG / 165LBS,High,Medium,,,Fifa24,,,,
Federico Dimarco,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p226268.png.adapt.50w.png,LWB,82,79,81,77,71,81,69,69,76,77,66,80,77,85,79,80,78,82,79,74,84,81,84,78,69,74,80,49,77,76,76,71,69,84,65,68,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/226268.png.adapt.265w.png,Italy,https://images.ctfassets.net/rs6bgs1g8dbr/EHrJWMzTNIVkWKssiD4Oc/366d836ba975be3d6abf7d3ffdebbb3f/f_27.png,Inter,https://images.ctfassets.net/rs6bgs1g8dbr/3P2xBSe9ichAyoiP8uzR7t/271e45d5b480a9ec7d42200e85677d79/44.png,Serie A TIM,Left,26,"175CM / 5'9""FT",75KG / 165LBS,High,Medium,,,Fifa24,,,,
Youssef En-Nesyri,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p235410.png.adapt.50w.png,ST,82,81,80,81,82,85,84,83,77,77,73,63,56,51,56,77,58,63,76,67,39,82,81,78,75,36,33,88,27,31,27,79,92,83,77,76,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/235410.png.adapt.265w.png,Morocco,https://images.ctfassets.net/rs6bgs1g8dbr/4kTHwfowcZeRRz76jN9tVp/1fc175d30b183bea985d1d3e728a6750/f_129.png,Sevilla FC,https://images.ctfassets.net/rs6bgs1g8dbr/1Sb2cM0OTHadGOu7hgdjQd/03ee18584b92855cd8cc8e738fa42ba0/481.png,LALIGA EA SPORTS,Left,27,"188CM / 6'2""FT",78KG / 172LBS,High,High,,,Fifa24,,,,
Seko Fofana,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p216320.png.adapt.50w.png,CM,82,71,71,71,77,78,74,83,84,68,56,76,81,62,62,82,80,72,80,69,68,82,82,81,82,73,79,58,68,80,71,86,79,91,87,79,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/216320.png.adapt.265w.png,Côte d'Ivoire,https://images.ctfassets.net/rs6bgs1g8dbr/3bhJFJ9J9zafZoTdCMPUFZ/e2d9f8e714b6bbcfcdb691d034f292ad/f_108.png,Al Nassr,https://images.ctfassets.net/rs6bgs1g8dbr/6pdPIXvFbvouaHUFBuw4dR/78a10831c91e580f42f78105f49c0e19/112139.png,ROSHN Saudi League,Right,29,"185CM / 6'1""FT",74KG / 163LBS,High,High,,,Fifa24,,,,
Javi Galán,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p231591.png.adapt.50w.png,LB,82,81,80,81,56,66,50,72,56,51,48,77,60,84,70,83,79,72,83,75,76,75,86,85,68,79,73,74,76,85,84,72,80,77,64,82,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/231591.png.adapt.265w.png,Spain,https://images.ctfassets.net/rs6bgs1g8dbr/7k3VpeG3cF7mCTkCpmY6cu/ee3d0c890df33b3ad4b4d5b9cd031ba9/f_45.png,Atlético de Madrid,https://images.ctfassets.net/rs6bgs1g8dbr/452jAa9UhkaM3gXX81Roqk/ec88e48a2b43d5e7a3fef6a38c96c16f/240.png,LALIGA EA SPORTS,Left,29,"172CM / 5'8""FT",70KG / 154LBS,High,Medium,,,Fifa24,,,,
David García,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p225341.png.adapt.50w.png,CB,82,59,58,59,37,51,35,47,25,37,44,66,52,61,38,82,72,40,65,45,57,78,79,60,67,83,83,85,82,83,84,77,83,69,79,82,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/225341.png.adapt.265w.png,Spain,https://images.ctfassets.net/rs6bgs1g8dbr/7k3VpeG3cF7mCTkCpmY6cu/ee3d0c890df33b3ad4b4d5b9cd031ba9/f_45.png,CA Osasuna,https://images.ctfassets.net/rs6bgs1g8dbr/tYKzegFkEL0if7F9BP4ch/a8fb6da7b75740956eb722cb4bed3d61/479.png,LALIGA EA SPORTS,Right,30,"185CM / 6'1""FT",72KG / 159LBS,Medium,Medium,,,Fifa24,,,,
Gayà,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p211688.png.adapt.50w.png,LB,82,81,80,82,61,75,61,62,59,58,60,77,76,80,49,79,75,80,79,82,80,82,80,77,76,78,80,58,79,81,83,74,73,86,67,77,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/211688.png.adapt.265w.png,Spain,https://images.ctfassets.net/rs6bgs1g8dbr/7k3VpeG3cF7mCTkCpmY6cu/ee3d0c890df33b3ad4b4d5b9cd031ba9/f_45.png,Valencia CF,https://images.ctfassets.net/rs6bgs1g8dbr/2sPKLwryFeWUCjQ950Bwcm/b14eeb851146c4e6526bd69f363d5c30/461.png,LALIGA EA SPORTS,Left,29,"172CM / 5'8""FT",66KG / 146LBS,High,Medium,,,Fifa24,,,,
Olivier Giroud,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p178509.png.adapt.50w.png,ST,82,43,38,47,83,88,87,86,69,86,88,74,78,64,65,82,64,71,74,55,53,86,86,69,85,42,42,89,37,37,20,80,82,61,90,76,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/178509.png.adapt.265w.png,France,https://images.ctfassets.net/rs6bgs1g8dbr/5Il39kdF0vuuJ1Gc18R7Ww/b982b6f565d2d59fe0dc61e5ca620092/f_18.png,Milan,https://images.ctfassets.net/rs6bgs1g8dbr/7nRlsjHakEJMpKZxrLkdF0/da5ac4e7fe717599c433e647c7f5500e/47.png,Serie A TIM,Left,37,"193CM / 6'4""FT",91KG / 201LBS,Medium,Medium,,,Fifa24,,,,
Mario Götze,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p192318.png.adapt.50w.png,CAM,82,63,68,58,75,81,75,75,68,84,78,83,86,80,72,87,81,81,85,78,83,81,90,84,87,55,65,47,64,42,53,71,63,91,67,59,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/192318.png.adapt.265w.png,Germany,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png,Frankfurt,https://images.ctfassets.net/rs6bgs1g8dbr/4qYnpSjk80i9rAuGe9cAJY/ba6e967eb8b5c104970016dc19980a78/1824.png,Bundesliga,Right,32,"176CM / 5'9""FT",72KG / 159LBS,Medium,Medium,,,Fifa24,,,,
Vincenzo Grifo,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p212096.png.adapt.50w.png,LM,82,71,75,67,80,81,78,85,79,73,90,83,81,88,88,81,77,89,81,80,78,80,83,82,74,40,45,47,48,31,30,64,66,71,65,52,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/212096.png.adapt.265w.png,Italy,https://images.ctfassets.net/rs6bgs1g8dbr/EHrJWMzTNIVkWKssiD4Oc/366d836ba975be3d6abf7d3ffdebbb3f/f_27.png,SC Freiburg,https://images.ctfassets.net/rs6bgs1g8dbr/2h4E8npXixdlR03E8vrgmf/fdd9a0d61d7e32bf82d2af2d20c94ac4/25.png,Bundesliga,Right,31,"180CM / 5'11""FT",76KG / 168LBS,Medium,Medium,,,Fifa24,,,,
Raphaël Guerreiro,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p209889.png.adapt.50w.png,LB,82,65,79,54,78,79,78,79,83,79,54,85,85,84,82,89,79,85,88,90,90,88,89,87,87,76,85,42,79,78,77,55,51,77,49,44,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/209889.png.adapt.265w.png,Portugal,https://images.ctfassets.net/rs6bgs1g8dbr/2lrwEhKVgf1yqaNPErE17U/827ef25bd1820ad5c65b278a021e9d86/f_38.png,FC Bayern München,https://images.ctfassets.net/rs6bgs1g8dbr/1Uh6FbAG5LLX0OdAnHi84E/ed4e33b98ac5d03b2adad5a4e2efb777/21.png,Bundesliga,Left,30,"170CM / 5'7""FT",69KG / 152LBS,High,Low,,,Fifa24,,,,
Joško Gvardiol,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p251517.png.adapt.50w.png,CB,82,78,80,76,54,58,42,76,56,54,61,69,65,61,59,76,74,59,74,68,67,79,76,75,75,82,82,78,81,84,84,83,90,79,83,86,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/251517.png.adapt.265w.png,Croatia,https://images.ctfassets.net/rs6bgs1g8dbr/14fF2K15SAGhgRD8gv1hCs/4115961b1636a5aacb8b8ff0057e0688/f_10.png,Manchester City,https://images.ctfassets.net/rs6bgs1g8dbr/hn2H64k3KVpJ3Wqpyleus/2d33f6e09f42515c20dd2a70600a3c26/10.png,Premier League,Left,22,"185CM / 6'1""FT",80KG / 176LBS,High,High,,,Fifa24,,,,
Kai Havertz,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p235790.png.adapt.50w.png,CAM,82,78,75,81,79,83,81,76,78,80,73,79,81,74,53,83,79,84,83,75,68,83,85,84,84,45,38,80,39,46,38,68,82,77,69,52,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/235790.png.adapt.265w.png,Germany,https://images.ctfassets.net/rs6bgs1g8dbr/1A8XMv08PSnZMzpSS5oNIF/47eae37fd5132755d6e36382e6122b1c/f_21.png,Arsenal,https://images.ctfassets.net/rs6bgs1g8dbr/RrovHfxo1AFm2Fsfl50kN/1b45151487917b5375e2698abbce260a/1.png,Premier League,Left,25,"190CM / 6'3""FT",82KG / 181LBS,Medium,Medium,,,Fifa24,,,,
Mario Hermoso,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p229668.png.adapt.50w.png,CB,82,75,71,78,49,63,42,66,47,41,45,74,66,71,55,81,80,68,71,70,61,80,76,67,77,82,81,83,81,83,82,79,88,73,80,84,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/229668.png.adapt.265w.png,Spain,https://images.ctfassets.net/rs6bgs1g8dbr/7k3VpeG3cF7mCTkCpmY6cu/ee3d0c890df33b3ad4b4d5b9cd031ba9/f_45.png,Atlético de Madrid,https://images.ctfassets.net/rs6bgs1g8dbr/452jAa9UhkaM3gXX81Roqk/ec88e48a2b43d5e7a3fef6a38c96c16f/240.png,LALIGA EA SPORTS,Left,29,"184CM / 6'0""FT",76KG / 168LBS,Medium,High,,,Fifa24,,,,
Franck Yannick Kessié,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-portraits/p230938.png.adapt.50w.png,CDM,82,79,77,80,76,76,73,84,78,60,88,74,76,66,54,81,75,61,79,70,77,79,82,78,83,81,82,68,83,82,78,87,85,93,87,82,https://media.contentapi.ea.com/content/dam/ea/easfc/fc-24/ratings/common/full/player-shields/en/230938.png.adapt.265w.png,Côte d'Ivoire,https://images.ctfassets.net/rs6bgs1g8dbr/3bhJFJ9J9zafZoTdCMPUFZ/e2d9f8e714b6bbcfcdb691d034f292ad/f_108.png,Al Ahli,https://images.ctfassets.net/rs6bgs1g8dbr/4UWJkwke55Yti7X5vE1eyg/f2eafbc97eeca6b5f6b8109bd9bb6ca1/112387.png,ROSHN Saudi League,Right,27,"183CM / 6'0""FT",74KG / 163LBS,High,High,,,Fifa24,,,,
